wn_synset,bn:id,pos,lemmata EN,definition,lemmata ES,is it related to music?,note
,bn:03411513n,,"latin_american_music, music_of_latin_america, dance_and_music_of_latin_america, latin_music, latin_rhythms, latin-american_music, latino_music, hispanic_music, music_of_latin_america_and_the_caribbean, el_pasito_duranguense","The music of Latin America refers to music originating from Latin America, namely the Romance-speaking countries and territories of the Americas and the Caribbean south of the United States.","música_latina, música_latinoamericana, ritmos_latinos, música_de_américa_latina, ritmo_latino, latin_music, musica_latina, musica_latinoamericana, matin_music, latinos",YES,
,bn:16347553n,,"latin_music, 1970s_latin_music, 1940s_latin_music, 1980s_latin_music, 2000s_latin_music, 1990s_latin_music, latin, latino_music, hispanic-american_music, 1950s_latin_music, 1960s_latin_music","Latin music is a term used by the music industry as a catch-all genre for music that comes from Spanish- and Portuguese-speaking areas of the world, namely Ibero-America and the Iberian Peninsula, as well as music sung in either language.",música_latina,YES,
,bn:03151362n,,"kurdish_music, music_of_kurdistan, qernete, music_of_iraqi_kurdistan, qernête",Kurdish music refers to music performed in the Kurdish languages and Zaza-Gorani languages.,música_kurda,YES,
,bn:00168712n,,"jewish_music, jewish_songs, hebrew_music, music_in_judaism",Jewish music is the music and melodies of the Jewish people.,"música_judía, música_judia, musica_hebrea, musica_judía, música_hebrea, musica_judia",YES,
,bn:03726530n,,intuitive_music,Intuitive music is a form of musical improvisation based on instant creation in which fixed principles or rules may or may not have been given.,música_intuitiva,YES,
,bn:03804775n,,"industrial_music, industrial, industrial_culture, industrial_punk, industrial_percussion, industrial_pop, industrial_band","A noisy, experimental genre of music with transgressive themes that originated in the 1970s.","música_industrial, musica_industrial, industrial_music, and_then..., banda_industrial, industrial",YES,
,bn:03145344n,,"native_american_music, indigenous_music_of_north_america, american_indian_music, native_american_and_first_nations_music, native_american, indian_folk_music, native_american_drums, traditional_indian_music, amerindian_music, native-american_music, native_american_indian_music, north_american_indian_music, native_american_drumming","Indigenous music of North America, which includes American Indian music or Native American music, is the music that is used, created or performed by Indigenous peoples of North America, including Native Americans in the United States and Aboriginal peoples in Canada, Indigenous peoples of Mexico, and other North American countries—especially traditional tribal music, such as Pueblo music and Inuit music.","música_indígena_de_américa_del_norte, musica_indigena_de_america_del_norte",YES,
,bn:01014683n,,indigenous_music,"Indigenous music is a term for the traditional music of the indigenous peoples of the world, that is, the music of an ""original"" ethnic group that inhabits any geographic region alongside more recent immigrants who may be greater in number.",música_indígena,YES,
,bn:13896577n,,"indie, indie_music, independent_music, indie/alternative, indie_culture, indie_fashion, independent_album, independet_music, unsigned_artists, independent_band, independent_artist, indie_band, unsigned_artiste, independent_artists, independent_musician","Independent music is music produced independently from commercial record labels or their subsidiaries, a process that may include an autonomous, do-it-yourself approach to recording and publishing.","música_independiente, música_indie, musica_independiente, indie, musica_indie, banda_independiente, artista_independiente, banda_indie, álbum_independiente",YES,
,bn:15966261n,,"impressionist_music, impressionism_in_music, impressionism, musical_impressionism, impressionistic_music, impressionism_music","Impressionism in music was a movement among various composers in Western classical music whose music focuses on mood and atmosphere, ""conveying the moods and emotions aroused by the subject rather than a detailed tone‐picture"".","música_impresionista, impresionismo, música_del_impresionismo, musica_del_impresionismo, musica_impresionista, impresionismo_musical, impresionismo_muical",YES,
,bn:00598308n,,"house_music, house, vocal_house, history_of_house_music, 2000s_house, chicago_hard_house, househead, bass_house, house_disco, housemusic, euro-house, house_music/history_of_house_music, 1990s_house_music, 1990s_house, melodic_house, uk_house, 2000s_house_music",House is a genre of electronic dance music characterized by a repetitive four-on-the-floor beat and a tempo of 120 to 130 beats per minute.,"música_house, house, musica_house, house_music, casa, disco_house",YES,
,bn:01063904n,,"gnawa_music, gnawa_musician, gnawa_fusions",Gnawa music is a body of Moroccan and sub-Saharan African Islamic religious songs and rhythms.,música_gnawa,YES,
,bn:01289677n,,"romani_music, romany_music, tzigane_music, music_of_the_tzigane, roma_music, music_of_the_gypsies, the_music_of_roma_people, gipsy_music, gypsy_music, rroma_music","Romani music is the music of the Romani people, who have their origins in northern India, but today live mostly in Europe.",música_gitana,YES,
,bn:03342472n,,generative_music,"Generative music is a term popularized by Brian Eno to describe music that is ever-different and changing, and that is created by a system.",música_generativa,YES,
,bn:03196327n,,"garifuna_music, paranda_music","Garifuna music is an ethnic music and dance with African and Arawak elements, originated by an Afro Indigenous group known as the Garifuna people, pre to their exile to Central America from Saint Vincent And The Grenadines.",música_garífuna,YES,
,bn:14037706n,,"galante_music, galant_music, post-baroque, style_galant, rococo","In music, galant refers to the style which was fashionable from the 1720s to the 1770s.","música_galante, estilo_galante, musica_galante",YES,
,bn:15252653n,,"progressive_folk, progressive_folk_music, prog_folk",Progressive folk was originally a type of American folk music that pursued a progressive political agenda.,"música_folk_progresivo, folk_progresivo",YES,
,bn:17137899n,,"contemporary_folk_music, country_folk, pagan_folk, contemporary_folk, folk_music",Contemporary folk music refers to a wide variety of genres that emerged in the mid 20th century and afterwards which were associated with traditional folk music.,"música_folk, folk, musica_folclorica, musica_folk, música_folclórica, folk_contemporáneo",YES,
,bn:01560295n,,"turkish_folk_music, anatolian_folk_music, tuerkue, traditional_music_of_turkey, türkü, turkish_folk_song, türküs",Turkish folk music combines the distinct cultural values of all civilisations that have lived in Turkey and its former territories in Europe and Asia.,"música_folclórica_de_turquía, musica_folclorica_de_turquia, musica_folclórica_de_turquia, música_folklorica_de_turquia, musica_folclórica_de_turquía, música_folclórica_de_turquia, música_folklorica_de_turquía, musica_folklórica_de_turquia, musica_folklorica_de_turquia, música_folclorica_de_turquia, musica_folklórica_de_turquía, musica_folklorica_de_turquía, música_folclorica_de_turquía, música_folklórica_de_turquía, musica_folclorica_de_turquía, música_folklórica_de_turquia, música_tradicional_turca",YES,
,bn:01809365n,,"american_folk_music, american_roots_music, american_traditional_music, roots_folk_music, folk_music_of_the_united_states, roots_folk, american_folksongs","The term American folk music encompasses numerous music genres, variously known as traditional music, traditional folk music, contemporary folk music, or roots music.","música_folclórica_de_estados_unidos, música_folclórica_estadounidense, folklore_musical_estadounidense, musica_folclorica_de_estados_unidos, música_con_raíces_americanas, música_folclorica_estadounidense, música_folclorica_de_estados_unidos, musica_folclórica_de_estados_unidos, musica_folclórica_estadounidense, musica_folclorica_estadounidense, música_de_raíces_americana",YES,
,bn:01899068n,,"appalachian_music, appalachian_folk_music, history_of_appalachian_music, appalachian_traditional_music",Appalachian music is the music of the region of Appalachia in the Eastern United States.,música_folclórica_apalache,YES,
,bn:03136177n,,"filmi_music, filmi, filmi_song, indian_film_music",Filmi music soundtracks are music produced for India's mainstream motion picture industry and written and performed for Indian cinema.,"música_filmi, musica_filmi, filmi",YES,
,bn:00587036n,,"experimental_music, experimental_sound, experimental_music_genres, experimental_classical_music, experimental_composers, experimental, laboratory_music, avantgarde, experimental_electronic_music",Experimental music is a general label for any music that pushes existing boundaries and genre definitions.,"música_experimental, musica_experimental, musicas_experimentales, experimental_music, músicas_experimentales, la_música_experimental",YES,
,bn:03642400n,,evolutionary_music,"Evolutionary music is the audio counterpart to evolutionary art, whereby algorithmic music is created using an evolutionary algorithm.","música_evolucionaria, musica_evolucionaria",YES,
,bn:00596725n,,"traditional_russian_music, russian_traditional_music, russian_ethnic_music, ethnic_russian_music, traditional_music_of_russia, russian_folk_song, russian_folk_music, musical_folklore_of_the_russian_people, russian_folk_songs, russian_musical_instruments",Russian traditional music specifically deals with the folk music traditions of the ethnic Russian people.,"música_étnica_rusa, música_popular_rusa",YES,
,bn:01430839n,,"space_music, spacemusic, space-music","Space music, also called spacemusic, is a subgenre of new-age music and is described as ""tranquil, hypnotic and moving"".",música_espacial,YES,
,bn:00717773n,,"prehistoric_music, primitive_music, evolution_of_music, music, origins_of_music, ancient_musical_instrument, prehistory_of_music, prehistoric_musical_instrument","Prehistoric music is a term in the history of music for all music produced in preliterate cultures, beginning somewhere in very late geological history.","música_en_la_prehistoria, musica_en_la_prehistoria, música_prehistórica, musica_de_la_prehistoria, música_de_la_prehistoria, musica_prehistorica, musica_prehistórica, instrumento_musical_prehistórico, musicas_de_la_prehistoria, orígenes_de_la_música, músicas_de_la_prehistoria_y_las_músicas_de_las_antiguas_civilizaciones_de_medio_oriente, origenes_de_la_musica, instrumento_musical_antiguo, músicas_de_la_prehistoria, musicas_de_la_prehistoria_y_las_músicas_de_las_antiguas_civilizaciones_de_medio_oriente, música_prehistorica, musicas_de_la_prehistoria_y_las_musicas_de_las_antiguas_civilizaciones_de_medio_oriente, instrumento_musical_de_la_prehistoria, instrumento_musical_prehistorico",YES,
,bn:03595858n,,"public_domain_music, music_in_the_public_domain",Public domain music is music to which no exclusive intellectual property rights apply.,"música_en_el_dominio_público, música_en_dominio_público, musica_en_dominio_publico",YES,
,bn:03847626n,,"electronic_music, history_of_electronic_music, electrosonic, electronic_art_music, electronic_classical_music, elektronische_musik, punktronica, electronic_music_artist, 1970s_electronica, elektronisk_musik, classical_electronic, 1990s_electronica, electronic, electronic_musician, موسيقي_الكترونيك, 1970s_edm, 1990s_electronic_dance_music, 1990s_electronic_music, 1970s_electronic_music, 1990s_edm, 2000s_electronic_music, electronic_music/art_music, musical_performance_system, 1940s_electronic_music, 1950s_electronic_music, 1960s_electronic_music, 1970s_electronic_dance_music, electronic_composition, electro_sonic, dark_electronic",A form of music consisting of sounds produced by oscillating electric currents either controlled from an instrument panel or keyboard or prerecorded on magnetic tape.,"música_electrónica, musica_electronica, músico_electrónico, musica_electrónica, música_electronica, musica_popular_electronica, musica_popular_electrónica, musico_electronico, canciones_de_musica_electronica, canciones_de_música_electronica, canciones_de_música_electrónica, canciones_de_musica_electrónica, música_popular_electronica, músico_electronico, música_popular_electrónica, musico_electrónico, electrónico, electrónica",YES,
,bn:03231099n,,"electroacoustic_music, electro-acoustic_music, list_of_electroacoustic_music_festivals, pre-recorded_tape, tape_music, electroacoustic_musicians, tape_composition, electro-acoustic, electroacoustic_music_festivals, electro_acoustic_music, electroacoustic_music_festival, list_of_electroacoustic_festivals, electroacoustic","Electroacoustic music is a genre of Western art music in which composers use technology to manipulate the timbres of acoustic sounds, sometimes by using audio signal processing, such as reverb or harmonizing, on acoustical instruments.","música_electroacústica, musica_electroacustica, musica_electroacústica, festival_internacional_de_musica_electroacustica_ai-maako, festival_internacional_de_música_electroacústica_ai-maako, electro-acústica",YES,
,bn:01945414n,,"romantic_music, romantic_period, romanticism, romantic_era_music, romanticism_in_music, romantic_music_era, romantic, romantic_period_in_music, romantic_movement, romantic_era, musical_romanticism",Romantic music is a stylistic movement in Western orchestral music associated with the period of the nineteenth century commonly referred to as the Romantic era.,"música_del_romanticismo, romanticismo, música_romántica, musica_del_romanticismo, romanticismo_musical, ópera_romántica, musica_romantica, musica_romántica, música_romantica",YES,
,bn:01935979n,,"renaissance_music, mannerism_in_music, rennaisance_music, music_of_the_renaissance, music_of_the_rennaisance, music_of_the_renaisance, music_of_the_rennaissance, rennaissance_music, renaissance, renaisance_music, 16th_century_music",Renaissance music is vocal and instrumental music written and performed in Europe during the Renaissance era.,"música_del_renacimiento, renacimiento, musica_del_renacimiento, música_renacentista, renacimiento_musical, musica_renacentista",YES,
,bn:02670948n,,"world_music, world_fusion, worldmusic, world-music, world_fusion_music, ethnic_rock, foreign_music, world_music_terminology, world_music_musicians, world, world_ethnic, world_musician, ethnic, list_of_world_music_festivals, musiques_du_monde, world_music_festival, global_music, world_music_festivals, contemporary_folk_music, ethnic_music","World music is a musical category encompassing many different styles of music from around the world, including traditional music, quasi-traditional music, and music where more than one cultural tradition intermingle.","música_del_mundo, música_global, world_music, música_universal, musicas_del_mundo, músicas_del_mundo, musica_del_mundo, musica_global, música_mundial, musica_mundial, musica_universal, música_world",YES,
,bn:01816486n,,music_of_dominica,The music of Dominica includes a variety of genres including all the popular genres of the world.,musica_del_dominca,YES,
,bn:03321905n,,"classical_period, classical_music_era, classical_music_period, classical_period_music, vienese_classic, classical-period_music, viennese_classicism, wiener_klassik, classical_era_of_music, classical_era_music, classical_music, classical_era_in_music, classical_period_in_music, viennese_classical, classical-era_music, classical_era, classical_period_of_music",The Classical period was an era of classical music between roughly 1730 and 1820.,"música_del_clasicismo, musica_del_clasicismo, clasicismo_musical, clasicismo, música_clasicista, época_clásica, era_de_la_música_clásica",YES,
,bn:01640606n,,"baroque_music, baroque, baroquesque_music, jesusurus, music_baroque, baroque_suite",Baroque music is a period or style of Western art music composed from approximately 1600 to 1750.,"música_del_barroco, barroco, música_barroca, musica_del_barroco, barroco_musical, musica_barroca",YES,
,bn:00229528n,,"degenerate_music, entartete_musik",Degenerate music was a label applied in the 1930s by the Nazi government in Germany to certain forms of music that it considered harmful or decadent.,"música_degenerada, musica_degenerada, entartete_musik",YES,
,bn:03609857n,,"middle_of_the_road, adult_standards/mor, mor, middle_of_the_road_music, contemporary_mor",Middle of the road is a commercial radio format and popular music genre.,"música_de_variedades, medio-de-la-carretera",YES,
,bn:03103194n,,salon_music,Salon music was a popular music genre in Europe during the 19th century.,música_de_salón,YES,
,bn:02168480n,,"program_music, programme_music, extra-musical, programme_symphony, programmatic_music, program_symphony",Program music is a type of instrumental art music that attempts to render an extra-musical narrative musically.,"música_de_programa, música_programática, musica_descriptiva, música_programatica, musica_programática, música_descriptiva, musica_de_programa, musica_programatica",YES,
,bn:00062208n,,piano_music,The sound of music produced by a piano,música_de_piano,YES,
,bn:01329175n,,"middle_eastern_music, middle-eastern_music, music_of_the_middle_east, middle_eastern_popular_music",Middle Eastern music refers to different various music styles that span across the Middle East.,"música_de_oriente_próximo, música_del_gran_oriente_medio, música_de_asia_occidental_y_áfrica_del_norte, musica_del_gran_oriente_medio, musica_de_oriente_proximo, música_de_oriente_medio, música_del_medio_oriente",YES,
,bn:01050867n,,"organ_repertoire, organ_literature, organ_music",The organ repertoire is considered to be the largest and oldest repertory of all musical instruments.,"música_de_órgano, repertorio_órgano",YES,
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,"música_de_navidad, música_navideña, álbum_de_navidad, álbum_navideño, canciones_de_navidad, canción_de_navidad",YES,
,bn:01309858n,,"furniture_music, musique_d'ameublement","Furniture music, or in French musique d’ameublement, is background music originally played by live performers.","música_de_mobiliario, musica_de_mobiliario",YES,
,bn:00239688n,,"islamic_music, music_in_islam, islamic_religious_music, muslim_music, islam_music, sufi_chant, singer, odka, sufi_chants, sufi_chanting, music_of_islam","Islamic music may refer to religious music, as performed in Islamic public services or private devotions, or more generally to musical traditions of the Muslim world.","música_de_los_países_islámicos, musica_de_los_paises_islámicos, musica_de_los_países_islámicos, música_de_los_paises_islamicos, música_de_los_países_islamicos, musica_de_los_paises_islamicos, música_de_los_paises_islámicos, música_islámica, musica_de_los_países_islamicos, música_musulmán, música_musulmana",YES,
,bn:03184083n,,"aboriginal_music_of_canada, aboriginal_music_in_canada, first_nations_music",Indigenous music of Canada encompasses a wide variety of musical genres created by Aboriginal Canadians.,música_de_las_primeras_naciones,YES,
,bn:01643370n,,"beach_pop, beach_music, carolina_beach_music","Beach music, also known as Carolina beach music, and to a lesser extent, Beach pop, is a regional genre of music in the United States which developed from rock/R&B and pop music of the 1950s and 1960s.",música_de_la_playa,YES,
,bn:03880723n,,"anglican_church_music, anglican_and_episcopalian_church_music, episcopal_church_music, anglican_music, anglican_and_episcopal_church_music","Anglican church music is music that is written for Christian worship in Anglican religious services, forming part of the liturgy.",música_de_la_iglesia_anglicana,YES,
,bn:03172805n,,"korean_court_music, court_music_of_korea",Korean court music refers to the music developed in the Joseon Dynasty.,música_de_la_corte_coreana,YES,
,bn:00717538n,,"ancient_music, music_in_ancient_persia, archaeomusicologist, ancient_chinese_music","Ancient music refers to the musical systems that were developed in the ancient past, literate cultures, including Mesopotamia, India, Persia, Egypt, China, Greece, and Rome, which replaced prehistoric music.","música_de_la_antigüedad, musica_en_el_mundo_antiguo, música_en_la_edad_antigua, música_de_la_edad_antigua, musica_de_la_edad_antigua, música_en_el_mundo_antiguo, musica_en_la_edad_antigua, música_en_la_antigüedad, la_música_en_la_antiguedad, música_en_la_antiguedad, musica_de_la_antiguedad, la_música_en_la_antigüedad, musica_de_la_antigüedad, musica_en_la_antigüedad, la_musica_en_la_antigüedad, música_de_la_antiguedad, musica_en_la_antiguedad, la_musica_en_la_antiguedad, música_antigua",YES,
,bn:03162122n,,"ancient_roman_music, music_of_ancient_rome, roman_music, music_in_ancient_rome, roman_instruments",The music of ancient Rome was a part of Roman culture from the earliest of times.,"música_de_la_antigua_roma, musica_de_la_antigua_roma",YES,
,bn:03144901n,,"music_of_ancient_greece, ancient_greek_music, anicent_greek_music, music_in_ancient_greece","The music of ancient Greece was almost universally present in ancient Greek society, from marriages, funerals, and religious ceremonies to theatre, folk music, and the ballad-like reciting of epic poetry.","música_de_la_antigua_grecia, música_en_la_antigua_grecia, musica_de_la_antigua_grecia, música_griega, musica_griega, musica_en_la_antigua_grecia, música_griega_antigua",YES,
,bn:01808165n,,"music_of_kenya, kenyan_music, kenyan_musicians, kenyan_traditional_music, hotel_pop, mashindano_ni_matezo","The music of Kenya is very diverse, with multiple types of folk music based on the variety over 40 regional languages.","música_de_kenia, musica_de_kenia",YES,
,bn:00661513n,,"music_of_india, indian_music, songs_of_india, music_in_india, india_medieval_music, indian_music_in_the_united_kingdom, vocal_music_of_india, indian_hip-hop, indian_rap, tamil_songs, hindi_hip-hop, sangeet, indian_vocal_music, indian_musicians_and_their_music, popular_music_in_india","Owing to India's vastness and diversity, Indian Music encompass numerous genres, multiple varieties and forms which include classical music, folk, rock, and pop.","música_de_india, música_de_la_india, musica_de_india, musica_india, música_hindú, música_india, musica_de_la_india, musica_hindu",YES,
,bn:03306952n,,"background_music, in-store_music, bgm, lift_music, piped_music, elevator-style, elevator_music","Background music refers to a mode of musical performance in which the music is not intended to be a primary focus of potential listeners, but its content, character, and volume level are deliberately chosen to affect behavioral and emotional responses in humans such a concentration, relaxation, distraction, and excitement.","música_de_fondo, musica_de_fondo, hilo_musical, bgm",YES,
,bn:02208231n,,"traditional_nordic_dance_music, pelimanni, nordic_folk_dance_music, spelleman_music, speleman, pelimanni_music, speleman_music, spillemand, spelman_music, spelleman, spillemand_music",Traditional Nordic dance music is a type of traditional music or folk music that once was common in the mainland part of the Nordic countries — Scandinavia plus Finland.,música_de_danza_folclórica_nórdica,YES,
,bn:15761742n,,"music_of_china, chinese_music, chinese_folk_music, chinese_folk, music_of_the_people's_republic_of_china, classical_chinese_music, history_of_chinese_music, chinese_classical_music, music_in_china, chinese_folk_song, chinese_folk_songs","Music of China refers to the music of the Chinese people, which may be the music of the Han Chinese as well as other ethnic minorities within mainland China.","música_de_china, musica_de_china, música_china, musica_china",YES,
,bn:02645944n,,"music_of_athens,_georgia, music_of_athens_georgia, athens_rock, athens,_ga_music_scene, athens,_georgia_music_scene, music_of_athens,_ga","The music of Athens, Georgia, includes a wide variety of popular music and was an important part of the early evolution of alternative rock and new wave.","música_de_atenas, musica_de_atenas",YES,
,bn:03355310n,,"elevator_music, elevator_muzak, wired_radio,_inc., muzak_version","Quiet background music played in elevators, waiting rooms and public buildings",música_de_ascensor,YES,
,bn:02526481n,,"praise_and_worship_music, contemporary_worship_music, praise_&_worship, contemporary_worship_song, lovsang, worship_music, praise_music, contemporary_christian_worship_music, contemporary_worship_songs, christian_worship_music, worship_song, praise_song, worship, praise_chorus, worship_songs","Contemporary worship music, also known as praise and worship music, is a defined genre of Christian music used in contemporary worship.","música_cristiana_contemporania, culto_cristiano, música_de_adoración_contemporánea, música_de_adoración, canción_alabanza",YES,
,bn:03469469n,,"contemporary_catholic_liturgical_music, contemporary_catholic_music, catholic_liturgical_music, contemporary_catholic_hymnody, catholic_hymnody, catholic_music",Contemporary Catholic liturgical music encompasses a comprehensive variety of styles of music for Catholic liturgy that grew both before and after the reforms of the Second Vatican Council.,"música_cristiana_católica, música_católica, musica_cristiana_catolica, música_católica_contemporánea, música_contemporánea_litúrgico_católico",YES,
,bn:03333146n,,"christian_music, music_in_church, liturgical_chant, ecclesiastical_music, protestant_music, christian_musician, churchmusic, christian, christian_sacred_music, music,_ecclesiastical, church-music",Christian music is music that has been written to express either personal or a communal belief regarding Christian life and faith.,"música_cristiana, musica_cristiana, música_cristiana_contemporánea, músico_cristiano",YES,
,bn:03414050n,,creole_music,The term Creole music is used to describe both the early folk or roots music traditions of rural Creoles of Louisiana.,música_criolla,YES,
,bn:03664260n,,"texas_country_music, texas_country",Texas Country Music is a rapidly growing subgenre of country music from Texas.,música_country_de_texas,YES,
,bn:01157666n,,"gospel_country, country_gospel, christian_country_music, christian_country, positive_country, southern_christian_music, christian_country_artists, country-style_christian_music, gospel_country_music, mainstream_artists_contributing_to_christian_country_music","Christian country music is music that is written to express either personal or a communal belief regarding Christian life, as well as to give a Christian alternative to mainstream secular music.","música_country_cristiana, country_gospel",YES,
,bn:01180383n,,"australian_country_music, new_zealander_country_music, australian_country-rock, list_of_australian_country_musicians",Australian country music is a part of the music of Australia.,música_country_australiano,YES,
,bn:01388524n,,"open_music, open_source_music, open-source_music","Open music is music that is shareable, available in ""source code"" form, allows derivative works and is free of cost for non-commercial use.","música_copyleft, musica_copyleft",YES,
,bn:01238992n,,"coptic_music, coptic_chant",Coptic music is the music sung and played in the Coptic Orthodox Church.,música_copto,YES,
,bn:01276454n,,"musique_concrète, musique_concrete, music_concrete, groupe_de_recherches_musicales, rock_concrete, studio_de_musique_concrete, studio_de_musique_concrète, chromatic_phonogene, concrete_music, musique_concréte, phonogene",Musique concrète is a type of music composition that utilizes recorded sounds as raw material.,"música_concreta, musica_concreta, musique_concrete, concrete_music, musique_concrète, groupe_de_recherches_musicales, hormigón_música",YES,
,bn:03557802n,,"computer_music, computer-aided_algorithmic_composition, computer_generated_music, computer-assisted_composition, live_coder, livecoder, machine_improvisation, computer-music, machine_composed_music, computer_composition, computer-generated_music, computer_assisted_composition, history_of_computer_music, procedural_generation_of_music, computer, computers_and_music, automatically_generated_music","Computer music is the application of computing technology in music composition, to help human composers create new music or to have computers independently create music, such as with algorithmic composition programs.","música_computacional, musica_computacional, composición_asistida_por_computadora, musica_asistida_por_computadora, música_asistida_por_computadora, computer_music, composicion_asistida_por_computadora, música_por_ordenador, música_generada_por_ordenador",YES,
,bn:00286190n,,"comedy_music, humor_music, comedy_country, comedy_jazz, comedy_song, comedy_pop, comedic_music, humour_musik",Comedy music is a genre of music that is comic or humorous in nature.,"música_cómica, comedia_musical",YES,
,bn:00762123n,,"ottoman_classical_music, ottoman_music, turkish_classical_music, turk_sanat_muzi, turk_sanat_muzgi, tuerk_sanat_muezi, classical_turkish_music, türk_sanat_müziği, tuerk_sanat_muezgi, turkish_art_music, turkish_court_music, classical_music_in_turkey, ottoman_turkish_music",Ottoman music was developed in Istanbul and other major Ottoman cities and towns through the palaces and Sufi lodges of the Ottoman Empire.,"música_clásica_otomana, música_clásica_turca, música_otomana",YES,
,bn:03391449n,,"hindustani_classical_music, hindustani_music, hindustani_sangeet, north_indian_classical_music, northern_indian_classical_music, pakistani_classical_music, hindustani_classical, classical_music_of_pakistan, hindi-urdu_classical_music, traditional_music_of_pakistan, hindustani_classical_singing, śāstriya_saṅgīt, list_of_hindustani/_north_indian_music_composers, classical_pakistani_music, north_indian_music, gayaki, hindustani_classical_singer",Hindustani classical music is the classical music of northern regions of the Indian subcontinent.,"música_clásica_indostaní, musica_clasica_indostaní, musica_clásica_indostani, música_indostasní, musica_clásica_indostaní, musica_clasica_indostani, música_clásica_indostani, musica_indostasní, música_clasica_indostani, música_indostasni, musica_indostasni, música_clasica_indostaní, música_indostánica, música_clásica_indostánica, clásica_indostánica, gayaki",YES,
,bn:01531352n,,"indian_classical_music, classical_indian_music, indian_classical_music_and_dance, classical_music_of_india, indian_classical, music_history_of_india, sangeeta, shastriya_gana, sangita, history_of_indian_music, madhyama_kala",Indian classical music is the classical music of the Indian subcontinent.,"música_clásica_de_la_india, música_clásica_de_india, música_clasica_india, musica_clasica_india, música_clasica_de_la_india, musica_clasica_de_la_india, musica_clásica_de_la_india, música_clásica_india, musica_clásica_india, musica_clasica_de_india",YES,
,bn:02658998n,,"contemporary_classical_music, contemporary_music, contemporary_classical_music_festivals, contemporary_classical_composer, contemporary_serious_music, list_of_contemporary_classical_music_festivals, 21st_century_music, contemporary_classical_music_festival, contemporary_art_music, contemporary_choral_music",Contemporary classical music is classical music composed close to the present day.,"música_clásica_contemporánea, música_contemporánea, musica_clasica_contemporanea, musica_contemporanea, música_contemporanea, musica_contemporánea, música_académica_contemporánea, musica_clásica_contemporánea, musica_academica_contemporanea, música_clasica_contemporánea, música_europea_contemporánea, música_clasica_contemporanea, musica_clasica_contemporánea, música_docta_contemporánea",YES,
,bn:00892042n,,"canadian_classical_music, canadian_composition, canadian_compositions","In Canada, classical music includes a range of musical styles rooted in the traditions of Western or European classical music that European settlers brought to the country from the 17th century and onwards.","música_clásica_canadiense, musica_clasica_canadiense",YES,
,bn:00141691n,,chimurenga_music,Chimurenga music is a Zimbabwean popular music genre coined and popularized by Thomas Mapfumo.,música_chimurenga,YES,
,bn:17229068n,,"celtic_music, celtic_folk, list_of_celtic_music_festivals, celtic, pan-celtic_music, celticmusic",Celtic music is a broad grouping of music genres that evolved out of the folk music traditions of the Celtic people of Western Europe.,"música_celta, musica_celta, rock_celta, folk_celta",YES,
,bn:00877028n,,"carnatic_music, carnatic_sangeet, carnatic_classical_music, karnataka_music, karnataka_sangita, karnatic_classical_music, karnatic_music, karnāṭaka_saṃgīta, south_indian_classical, karnataka_sangeeth, carnatic_musician, karnakata_sangeetha, karnāṭaka_saṅgītam, origins_and_history_of_carnatic_music, list_of_carnatic_music_festivals, karnataka_sangeeta, javali, karnataka_sangeetham, karnataka_sangeetha, karnatak_music, south_indian_music, dravidian_music","Carnatic music, known as Karnāṭaka saṃgīta or Karnāṭaka saṅgītam in the South Indian languages, is a system of music commonly associated with South India, including the modern Indian states of Karnataka, Andhra Pradesh, Telangana, Kerala and Tamil Nadu, and Sri Lanka.","música_carnática, música_carnatica, musica_carnatica, musica_carnática, musica_karnática, música_karnatica, carnática, música_karnática, carnatica, musica_karnatica, música_clásica_carnática",YES,
,bn:16535928n,,son_calentano,"The son calentano is an instrumental form of music from the Tierra Caliente region, Mexico.","música_calentana, musica_calentana, son_calentano",YES,
,bn:03886547n,,"byzantine_music, byzantine_chant, psaltic",Byzantine music is the music of the Byzantine Empire.,"música_bizantina, canto_bizantino, musica_bizantina",YES,
,bn:00463882n,,benga_music,Benga is a genre of Kenyan popular music.,música_benga,YES,
,bn:03183804n,,"beat_music, british_beat, merseybeat, beat_combo, the_mersey_sound, mersey_sound, beat-group, beat_boom, beat_group, tottenham_sound, beat_band",A pop and rock music genre that developed in the United Kingdom in the early 1960s.,"música_beat, musica_beat, beat, beat_music, mersey_beat, merseybeat",YES,
,bn:02122089n,,"avant-garde_music, avantgarde_music, avant-garde_composer, avant-garde_classical, avant-garde_pop, avant-garde_composers, avant_garde_music, sonic_avant-garde, avant-garde, avant_music","Avant-garde music is music that is considered to be at the forefront of innovation in its field, with the term ""avant-garde"" implying a critique of existing aesthetic conventions, rejection of the status quo in favor of unique or original elements, and the idea of deliberately challenging or alienating audiences.","música_avant-garde, música_vanguardista, música_de_vanguardia, musica_de_vanguardia, musica_vanguardista, musica_avant-garde, música_avant_garde",YES,
