wn_synset,bn:id,pos,lemmata EN,definition,lemmata NL,is it related to music?,note,removed EN,removed NL
,bn:00898508n,,"riddim, bookshelf_riddim, legal_riddim","Riddim is the Jamaican Patois pronunciation of the English word ""rhythm"".",riddim,YES,,,
,bn:00842245n,,"richter-tuned_harmonica, blues_harp, richter_tuned_harmonica, blues_harmonica, 10-hole_harmonica, harmonica_blues","The Richter-tuned harmonica, or 10-hole harmonica or blues harp, is the most widely known type of harmonica.","blues_harp, bluesharp, blues-harp, blues_harmonica, harmonica_blues",YES,,,
,bn:03688998n,,"ricercar, ricercare, recercar, ricercares, ricercari, ricercars, recercare, ricecare",A ricercar is a type of late Renaissance and mostly early Baroque instrumental composition.,"ricercare, ricercar",YES,,,
,bn:00067686n,,rhythmicity,The rhythmic property imparted by the accents and relative durations of notes in a piece of music,ritmiek,YES,,,
,bn:13921944n,,"rhythmic_top_40, rhythmic, rhythmic_airplay, rhythmic_songs, list_of_billboard_rhythmic_top_10_singles_in_2017, us_rhy., rhythmic_airplay_chart, chr/rhythmic",The Rhythmic chart is an airplay chart published weekly by Billboard magazine.,ritmische_top_40,YES,,,
,bn:00987882n,,"rhythmic_noise, power_noise, rhythm_'n'_noise, industrial_hardcore, techno-industrial, raoul_roucka, power_noize, technoid, harsh_noise, powernoise, rhythmic_noize, industrial_techno, powernoize, phil_philter, noisex",Power noise is a form of industrial music and a fusion of noise music and various styles of electronic dance music.,"power_noise, powernoise, rhythmic_industrial, ritmische_geluid, ritmische_noise, industriële_techno",YES,,,
,bn:02014173n,,"rhythm_guitar, rhythm_guitarist, rhythm_guitar_solo, rhythm_guitars, second_guitar, rythm_guitar, guitar","In music performances, rhythm guitar is a technique and role that performs a combination of two functions: to provide all or part of the rhythmic pulse in conjunction with other instruments from the rhythm section ; and to provide all or part of the harmony, i.e. the chords from a song's chord progression, where a chord is a group of notes played together.","slaggitaar, slaggitarist, rhythmguitar, rhythm_guitar, ritmische_gitaar, ritmegitaar, ritmegitarist, ritme_gitaar, ritme_gitarist",YES,,,
,bn:01665701n,,"rhythm_changes, sears_roebuck_bridge","Rhythm changes are a common 32-bar chord progression in jazz, originating as the chord progression for George Gershwin's ""I Got Rhythm"".","rhythm_changes, ritme_verandert",YES,,,
,bn:16830217n,,rhythm_&_praise_music,Rhythm and praise is another term for Christian R&B music.,rhythm_&_praise_muziek,YES,,,
,bn:00067664n,,"rhonchus, rhonchi, rhoncus",A sound like whistling or snoring that is heard with a stethoscope during expiration as air passes through obstructed channels,"rhonchi, rhonchus",YES,,,
,bn:02394801n,,rhapsody,"A rhapsody in music is a one-movement work that is episodic yet integrated, free-flowing in structure, featuring a range of highly contrasted moods, colour, and tonality.","rapsodie, rhapsodie",YES,,,
,bn:02571318n,,"rhaita, ghaita",The rhaita or ghaita is a double reed instrument from North Africa.,rhaita,YES,,,
,bn:00585632n,,"revolutionary_song, revolutionary_music, political_songs, political_song",Revolutionary songs are political songs that advocate or praise revolutions.,revolutionaire_lied,YES,,,
,bn:02041380n,,"revolutionary_opera, bage_yangban_xi, 八个样板戏, yángbǎn_xì, ba_ge_yang_ban_xi, model_plays, revolutionary_model_opera, eight_model_plays, eight_revolutionary_operas, eight_model_operas, model_revolutionary_operas, revolutionary_beijing_operas, ba_ge_yangban_xi, model_opera, revolutionary_peking_operas, bā_gè_yáng_bǎn_xì, revolutionary_peking_opera, yang-pan-hsi, yangban_xi, revolutionary_beijing_opera, yangbanxi, 样板戏, revolutionary_operas, model_operas, model_revolutionary_opera, model_play, yang_ban_xi, yáng_bǎn_xì, yángbǎnxì","In China, revolutionary operas or model operas were a series of shows planned and engineered during the Cultural Revolution by Jiang Qing, the wife of Chairman Mao Zedong.",acht-model_speelt,YES,,,
,bn:00571741n,,"revivalist_artist, revivalist_band, revivalist_act","A revivalist artist or revivalist band is a musical group, singer, or musician dedicated to reviving interest in a musical genre from an earlier era.","revivalistische_band, revivalistische artiest",YES,,,
,bn:00462532n,,reverse_tape_effects,"Reverse tape effects are special effects created by recording sound onto magnetic tape and then physically reversing the tape so that when the tape is played back, the sounds recorded on it are heard in reverse.",reverse_tape_effecten,YES,,,
,bn:03241860n,,"reverse_echo, backwards_echo, backward_echo, reverse_reverb, reverse_regeneration","Reverse reverb, also known as backwards reverb, or sometimes reverse echo, is a sound effect created as the result of recording a reverberated signal of an audio recording played backwards.",reverse_echo,YES,,,
,bn:00067512n,,"reveille, le_réveil, you_gotta_get_up,_you_gotta_get_up,_you_gotta_get_up_this_morning, revielle, i_can't_get_'em_up,_i_can't_get_'em_up,_i_can't_get_'em_up_this_morning",A signal to get up in the morning; in the military it is a bugle call at sunrise,reveille,YES,,,
,bn:01944981n,,"retrograde, non-retrogradable_rhythm, cancrizans",A musical line which is the reverse of a previously or simultaneously stated line is said to be its retrograde or cancrizans.,retrograde,YES,,,
,bn:03041204n,,retrigger,Retriggering is a tracker technique in which a sample is replayed a set number of times within a certain timeframe.,retriggering,YES,,,
,bn:02768650n,,"responsory, responsoriale, responsories, responsorio, responsorium, responsoria, matin_responsory, responsorial, responsorial_singing",A responsory or respond is a type of chant in western Christian liturgies.,"responsoriale, responsorium, responsory, responsoria",YES,,,
,bn:00067368n,,"response, liturgical_responses, ℟",A phrase recited or sung by the congregation following a versicle by the priest or minister,liturgisch_antwoord,YES,,,
,bn:03252507n,,"resonator_guitar, resophonic_guitar, triolian, national_resophonic_guitar, spider_bridge, duolian, biscuit_bridge, tricone","A resonator guitar or resophonic guitar is an acoustic guitar that produces sound by conducting string vibrations through the bridge to one or more spun metal cones, instead of to the guitar's sounding board.","resonatorgitaar, resonator_gitaar, resophonic_gitaar",YES,,,
,bn:00751680n,,resheto,The resheto is a Ukrainian percussive folk instrument.,resheto,YES,,,
,bn:03508115n,,"rescue_opera, rescue_operas",Rescue opera was a genre of opera in the late 18th and early 19th centuries in France and Germany.,redding_opera,YES,,,
,bn:03508503n,,"re-release, reissue, rerelease, re-issue, re-edition, repackage, revisited_album, reissue_album, re-released, reissued, repackage_album","In the music industry, a reissue is the release of an album or single which has been released at least once before, sometimes with alterations or additions.","heruitgave, opnieuw_uitgebracht, re-release",YES,,,
,bn:00359536n,,"re-recording_mixer, dubbing_mixer, record_mixer","A re-recording mixer in North America, also known as a dubbing mixer in Europe, is a post-production audio engineer who mixes recorded dialogue, sound effects and music to create the final version of a soundtrack for a feature film, television program, or television advertisement.",re-recording_mixer,YES,,,
,bn:03649346n,,requiem,"John Rutter's Requiem is a musical setting of parts of the Latin Requiem with added psalms and biblical verses in English, completed in 1985.",requiem,YES,,,
,bn:00603440n,,"reprise, reprised","In music, a reprise is the repetition or reiteration of the opening material later in a composition as occurs in the recapitulation of sonata form, though—originally in the 18th century—was simply any repeated section, such as is indicated by beginning and ending repeat signs.",reprise,YES,,,
,bn:03171207n,,repetitive_music,Repetitive music is music that features a relatively high degree of repetition in its creation or reception.,repetitieve_muziek,YES,,,
,bn:14462094n,,"repetition, repetition_in_music, repeated_note, restatement, musical_repetition","Repetition is important in music, where sounds or sequences are often repeated.",herhaling,YES,,,
,bn:01605024n,,"répétiteur, repetiteur, rehearsal_director, korrepetitor, repétiteur","A répétiteur is an accompanist, tutor or coach of ballet dancers or opera singers.","repetitor, correpetitor, co-repetitor, correpetitie",YES,,,
,bn:02371178n,,repeat_after_me_song,A repeat after me song is a type of song where a leader sings a verse followed by the audience repeating what he/she says.,repeat_after_me_song,YES,,,
,bn:00067106n,,"rendition, rendering",A performance of a musical composition or a dramatic role etc.,interpretatie,YES,,,
,bn:00047197n,,"rendition, interpretation, rendering",The act of interpreting something as expressed in an artistic performance,"uitvoering, vertolking, weergave, interpretatie",YES,,,
,bn:01935979n,,"renaissance_music, mannerism_in_music, rennaisance_music, music_of_the_renaissance, music_of_the_rennaisance, music_of_the_renaisance, music_of_the_rennaissance, rennaissance_music, renaissance, renaisance_music, 16th_century_music",Renaissance music is vocal and instrumental music written and performed in Europe during the Renaissance era.,"renaissancemuziek, renaissance_muziek",YES,,,
,bn:02590452n,,"remote_recording, remote_recording_truck, remote_audio_recording, remote_concert_recording, location_recording, mobile_recording_truck, remote_truck","Remote recording, also known as location recording, is the act of making a high-quality complex audio recording of a live concert performance, or any other location recording that uses multitrack recording techniques outside of a recording studio.",opname_op_afstand,YES,,,
,bn:01502035n,,"remix_album, remix_albums, list_of_best-selling_remix_albums_worldwide, list_of_best_selling_remix_album_worldwide",A remix album is an album consisting of remixes or rerecorded versions of an artist's earlier released material.,"remixalbum, remix_album",YES,,,
,bn:00789960n,,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.","remix, megamix, dance_remix, remixen, remixes, remixer",YES,,,
,bn:03561227n,,"remaster, digital_remastering, digitally_remastered, digitally_remaster, remastered_video_game, video-game_remaster, videogame_remaster, remastered_video-game, remastered, remastered_videogame, video_game_remaster, audio_remaster, digital_remaster","Remaster refers to changing the quality of the sound or of the image, or both, of previously created recordings, either audiophonic, cinematic, or videographic.","remaster, geremasterde, digitale_remastering, digitaal_geremastered",YES,,,
,bn:00634282n,,religious_music_in_iran,Religious music in Iran is rich in melodies and genres.,religieuze_muziek_in_Iran,YES,,,
,bn:00168766n,,"religious_jewish_music, judaic_music, jewish_liturgical_music",This article describes the principal types of religious Jewish music from the days of the Temple to modern times.,"joodse_muziek, judaïsche_liturgische_muziek",YES,,,
,bn:03385333n,,"relief, profile","Relief, or profile, refers to the amount of curvature in the fingerboard of a guitar or other similar stringed instrument.","profiel, reliëf",YES,,,
,bn:00067026n,,"release, tone_ending",(music) the act or manner of terminating a musical phrase or tone,toon_eindigend,YES,,,
,bn:01181265n,,relative_pitch,Relative pitch is the ability of a person to identify or re-create a given musical note by comparing it to a reference note and identifying the interval between those two notes.,"relatief_gehoor, relatieve_toonhoogte",YES,,,
,bn:01443170n,,"rekuhkara, rekukkara","Rekuhkara is a style of singing, similar to Inuit throat singing, that was practised by the Ainu until 1976 when the last practitioner died, The Sakhalin spelling rekuxkara or the Japanese spelling rekukkara can also be encountered.","rekuhkara, rekukkara",YES,,,
,bn:01560397n,,rekilaulu,Rekilaulu is a type of rhymed stanzaic folksong in Finland.,rekilaulu,YES,,,
,bn:01340341n,,"rehearsal_letter, rehearsal_number, rehearsal_mark","A rehearsal letter is a boldface letter of the alphabet in an orchestral score, and its corresponding parts, that provides the conductor, who typically leads rehearsals, with a convenient spot to tell the orchestra to begin at places other than the start of movements or pieces.",repetitie_brief,YES,,,
,bn:03192791n,,"regular_temperament, generator, tuning_generator, linear_temperament","Regular temperament is any tempered system of musical tuning such that each frequency ratio is obtainable as a product of powers of a finite number of generators, or generating frequency ratios.",regelmatige_temperament,YES,,,
,bn:00066905n,,registration,(music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops,"registratie, registrant",YES,,,
,bn:02466009n,,"regional_styles_of_mexican_music, spanish_oldies, spanish_contemporary, mexican_regional_music, regional_mexican_music, son_jalicense, regional_variations_of_mexican_music",Regional styles of Mexican music vary greatly vary from state to state.,regionale_stijlen_van_Mexicaanse_muziek,YES,,,
,bn:03117862n,,"reggaeton, reggaetón, reggeaton, cubaton, reggueton, reaggaton, cuban_reggaeton, fussion_music, regueton, underground_reggaeton, reggaton, salsatón, reguetón, melaza, latino_urban, reggaetón_music, latin_reggae, 2000s_reggaeton, den_bow, ragaeton, cubatón","Reggaeton, also known as reggaetón and reguetón, is a music style that originated in Puerto Rico during the mid-1990s.","reggaeton, reggaetón, reggeaton",YES,,,
,bn:00994365n,,"reggae_rock, reggae_metal, reggae-rock, cali_reggae, rock_reggae, ragga_metal","Reggae rock is a subgenre of reggae fusion and rock music that primarily uses the genres reggae, rock and ska.",reggae_rock,YES,,,
,bn:00133388n,,"reggae_genres, list_of_genres_of_reggae, list_of_reggae_genres, skinhead_reggae",There are several subgenres of reggae music including various predecessors to the form.,reggae_genres,YES,,,
,bn:03857299n,,"reggae_fusion, reggae-pop, reggae_pop, reggae/pop, euro_reggae, trap_dancehall, island-pop, island_pop, pop_reggae, reggaefusion, pop_dancehall, smooth_reggae","Reggae fusion is a genre of reggae that mixes reggae or dancehall with other genres, such as pop, rock, R&B, jazz and drum and bass.",reggae_fusion,YES,,,
,bn:01429963n,,"reggae_en_español, spanish_reggae, spanish_dancehall, reggae_en_espanol",Reggae en Español is reggae music recorded in the Spanish language by artists of Latin American origin.,reggae_en_español,YES,,,
,bn:01651800n,,"regal, regals","The regal is a small portable organ, furnished with beating reeds and having two bellows.",regaal,YES,,,
,bn:00066773n,,reeler,A dancer of reels,reel_danser,YES,,,
,bn:00266499n,,"re-edit, re_edit, reëdit, re-edited, reedits, reedit, reedited, re-edits, reediting, re-editing","In popular music, a re-edit is an altered version of a recorded song created by repeating, reordering, or removing sections of the original recording - for example, making a chorus repeat several times in a row, or extending the length of a break section.",re-edit,YES,,,
,bn:00066762n,,reed_stop,An organ stop with the tone of a reed instrument,tongwerk,YES,,,
,bn:00066759n,,"reed_pipe, cornopian, cornopean",Organ pipe with a vibrating reed,"riet_pijp, schalmei",YES,,,
,bn:00009412n,,"reed_instrument, reed, beating-reed_instrument",A musical instrument that sounds by means of a vibrating reed,"riet, riet_instrument, afstraffing-riet_instrument",YES,,,
,bn:00066331n,,re-echo,The echo of an echo,re-echo,YES,,,
,bn:13917745n,,reductionism,Reductionism is a form of improvised music that developed towards the end of the 20th century.,reductionisme,YES,,,
,bn:03810970n,,"reduction, piano_reduction, orchestral_reduction, piano_transcription, conductor’s_part, condensed_score, musical_reduction, music_reduction, score_reduction, conductor's_part, piano_transcriptions","In music, a reduction is an arrangement or transcription of an existing score or composition in which complexity is lessened to make analysis, performance, or practice easier or clearer; the number of parts may be reduced or rhythm may be simplified, such as through the use of block chords.","pianouittreksel, orkestuittreksel, pianoreductie, klavieruittreksel, afname, vermindering, reductie",YES,,,
,bn:02775658n,,red_dirt,Red dirt is a music genre that gets its name from the color of soil found in Oklahoma.,red_dirt,YES,,,
,bn:00889604n,,recurrent_rotation,Recurrent rotation refers to a group of songs still frequently aired on a contemporary hit radio station several months or even years after the initial debut.,terugkerende_rotatie,YES,,,
,bn:01641898n,,recoupment,"Recoupment is the practice, common in the music industry, of claiming an advance provided to an artist back from that artist rather than from related sources.",recoupment,YES,,,
,bn:03288819n,,"recording_of_transmission, rot",A recording of transmission is a record made of material broadcast on a radio station.,opname_van_uitzending,YES,,,
,bn:01790906n,,"recording_contract, record_deal, record_contract","A recording contract is a legal agreement between a record label and a recording artist, where the artist makes a record for the label to sell and promote.",platencontract,YES,,,
,bn:00339859n,,recording_consciousness,Recording consciousness as described by Bennett,recording_consciousness,YES,,,
,bn:00066584n,,"recorder, recording_machine, recording_equipment",Equipment for making records,"recorder, controleapparaat, opnameapparaat",YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.","producer, muziekproducent, platenproducer, muziekproducer, muziekproductie, muziek_producer, platenproducenten, muzikale_producer, recordproductie, muziek_productie",YES,,,
,bn:00066583n,,record_jacket,The jacket for a phonograph record,opnemen_jas,YES,,,
,bn:01037957n,,"record_collecting, vinyl_snob, crate_digger, music_collecting, vinyl_fetishist, crate_digging, record_collector","Record collecting is the hobby of collecting sound recordings, usually of music, but sometimes ""spoken word""","vynil_verzamelaar, muziek_collectioneur, record_verzamelaar",YES,,,
,bn:01036036n,,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.","hitparade, hitlijsten, muziekhitlijst, hitlijst, chart, populariteit_grafiek, album_charts, muziek_grafiek, pop_grafiek, singles_chart, chart-topper, singles_charts",YES,,,
,bn:00062043n,,"record_album, phonograph_album",An album for holding phonograph records,fonograaf_album,YES,,,
,bn:01617537n,,reclam_de_xeremies,"The reclam de xeremies, also known as the xeremia bessona or xeremieta, is a double clarinet with two single reeds, traditionally found on the Balearic island of Ibiza, off the east coast of Spain.",xeremieta,YES,,,
,bn:00066518n,,recessional,A hymn that is sung at the end of a service as the clergy and choir withdraw,slotlofzang,YES,,,
,bn:00460487n,,"rebetiko, café-aman, rebetiko_dances, rembétika, rembetiko, rebetica, rempetiko, hasiklidika, rebetika, rebétika, rembetika","Rebetiko, plural rebetika, occasionally transliterated as rembetiko or rebetico, is a term used today to designate originally disparate kinds of urban Greek music which have come to be grouped together since the so-called rebetika revival, which started in the 1960s and developed further from the early 1970s onwards.","rebetika, rembetiko, rebetiko",YES,,,
,bn:00734358n,,"rebec, rubeba, ribible, rebequin, patchi, rebeck, rebet",The rebec is a bowed stringed instrument of the Medieval era and the early Renaissance.,rebec,YES,,,
,bn:01224173n,,"rebana, rammana","The rebana or terbangan is a Malay tambourine that is used in Islamic devotional music in Southeast Asia, particularly in Indonesia, Malaysia, Brunei, and Singapore.",rebana,YES,,,
,bn:03481957n,,"re-amp, reamp, reamping, reamped",Re-amping is a process often used in multitrack recording in which a recorded signal is routed back out of the editing environment and run through external processing using effects units and then into a guitar amplifier and a guitar speaker cabinet or a reverb chamber.,"re-amp, reamp, reamping, reamped",YES,,,
,bn:00066312n,,"re, d, ray, re_note, c-double_sharp, d_note",The syllable naming the second (supertonic) note of any major scale in solmization,"d, re",YES,,,
,bn:00949104n,,"ravanahatha, raavanhattha, ravanastron","A ravanahatha is an ancient bowed, stringed instrument, used in India, Sri Lanka and surrounding areas.",ravanahatha,YES,,,
,bn:03767942n,,rautalanka,"In common usage, the Finnish word rautalanka means instrumental rock in general.",rautalanka,YES,,,
,bn:03345341n,,"ratchet, graggers, gragger, football_rattle, knarre, ratsche, groggers, ra'ashan, matraca, cog_rattle","A ratchet, also called a noisemaker or Knarre, is an orchestral musical instrument played by percussionists.",ratel,YES,,,
,bn:00066207n,,"rasping, rasp",Uttering in an irritated tone,raspen,YES,,,
,bn:03272241n,,"rasin, mizik_rasin, mizik","Rasin, also known as Haitian roots music, is a musical style that began in Haiti in the 1970s when musicians began combining elements of traditional Haitian Vodou ceremonial and folkloric music with various musical styles.",mizik_rasin,YES,,,
,bn:03653006n,,rasika,A rasika is a term for an aesthete of Indian classical music.,rasika,YES,,,
,bn:03380668n,,rare_groove,Rare groove is soul or jazz music that is very hard to source or relatively obscure.,zeldzame_groove,YES,,,
,bn:02356703n,,rara,"Rara is a form of festival music that originated in Haiti that is used for street processions, typically during Easter Week.",rara,YES,,,
,bn:00187997n,,"rap_rock, rap_and_roll, rage_rock, rap-core, rap-rock, hip_rock, hip_punk, rapcore, punk_rap, raprock, rapcore_punk, hardcore_rap_punk, punk_hop, rap_over_rock, rap_punk, hardcore_punk_rap, hip_hop_punk, hip-rock, rock_hop, hip_hop_rock, rap_core, punk-rap, rock_rap, punk_hip_hop",Rap rock is a fusion genre that fuses vocal and instrumental elements of hip hop with various forms of rock.,"rap-rock, raprock, rap_rock",YES,,,
,bn:03624699n,,"rap_opera, hip_hopera, hip-hopera, hip_hop-era, hip_opera, operap",A rap opera or hip hopera is a musical work in hip hop style with operatic form.,rap_opera,YES,,,
,bn:01896888n,,"rap_metal, rap-metal, thrash_rap, death_rap, scream_rap, metal_hiphop, rapmetal, metal_rap, hip_hop_metal",Rap metal is a subgenre of rap rock and alternative metal music which combines hip hop with heavy metal.,"rap_metal, rap-metal",YES,,,
,bn:00066175n,,rap_group,A gathering of people holding a rap session,"praatgroep, gespreksgroep, rapgroep",YES,,,
,bn:00060963n,,"rap, pat, tap",The sound made by a gentle blow,pat,YES,,,
,bn:03083494n,,"ranchera, rancheras, ranchero_music, canción_ranchera, cancion_ranchera, ranchera_music",Ranchera or canción ranchera is a genre of the traditional music of Mexico.,"ranchera, rancheras",YES,,,
,bn:00923162n,,"ranat_thum, ranad_tum, ranad_thum, ranad-thume",The ranat thum is a low pitched xylophone used in the music of Thailand.,"ranat_thum, ranad_tum, ranad_thum, ranad-thume",YES,,,
,bn:00923172n,,"ranat_ek, ranad_ek, thai_xylophone, ranad-ek",The ranat ek is a Thai musical instrument in the percussion family that consists of 21 wooden bars suspended by cords over a boat-shaped trough resonator and struck by two mallets.,"ranat_ek, ranad-ek",YES,,,
,bn:00066044n,,"rain_stick, rainstick, rainstick，rain_machine",A percussion instrument that is made from a dried cactus branch that is hollowed out and filled with small pebbles and capped at both ends; makes the sound of falling rain when tilted; origin was in Chile where tribesmen used it in ceremonies to bring rain,"rainstick, regenstok",YES,,,
,bn:00950916n,,"rai, raï, rai_rock, raï_music, raï_rock, rai_music","Raï, sometimes written rai, is a form of Algerian folk music that dates back to the 1920s.","rai, raï",YES,,,
,bn:03130080n,,ragga_jungle,Subgenre of oldschool jungle,ragga_jungle,YES,,,
,bn:02188512n,,ragga_hip_hop,Ragga hip-hop is a fusion-genre that blends ragga and hip-hop music.,ragga_hip_hop,YES,,,
,bn:01910673n,,"ragga, ragga_pop, raggamuffin_music, ragga_soca, ragga_music, raggamuffin, dancehall, raggah, ragamuffin_music, ragah, rasta_rap","Raggamuffin music, usually abbreviated as ragga, is a subgenre of dancehall and reggae music.",ragga,YES,,,
,bn:00584033n,,ragarap,Ragarap is a compilation album of popular reggae songs from the early to mid-1990s.,ragarap,YES,,,
,bn:03542985n,,raganella,The raganella is a percussion instrument common in the folk music of Calabria in southern Italy.,raganella,YES,,,
,bn:00961013n,,"raga_rock, raga_metal, raga-rock","Raga rock is rock or pop music with a pronounced Indian influence, either in its construction, its timbre, or its use of Indian musical instruments, such as the sitar and tabla.",raga_rock,YES,,,
,bn:02558926n,,"radiodrum, radio-baton, radio-drum, radiobaton, radio_baton",The Radiodrum or radio-baton is a musical instrument played in three-dimensional space using two mallets.,"radiodrum, radio-baton, radio-drum, radiobaton, radio_baton",YES,,,
,bn:01293070n,,"radio_promotion, independent_promoter, record_promoter, record_plugger",Radio promotion is the division of a record company which is charged with placing songs on the radio.,radio_promotie,YES,,,
,bn:00755531n,,"radio_orchestra, broadcast_orchestra, television_orchestra",A radio orchestra is an orchestra employed by a radio network in order to provide programming as well as sometimes perform incidental or theme music for various shows on the network.,radio-orkest,YES,,,
,bn:03074175n,,"radio_opera, radio_operas",Radio opera is a genre of opera.,radio-opera,YES,,,
,bn:00943547n,,radio_festival,A radio festival is a music show featuring live bands that are created and promoted solely by commercial radio stations or media conglomerates.,radio_festival,YES,,,
,bn:03189076n,,"radio_edit, single_edit, clean_edit, single_version, clean_version, radio_version, 7""_edit, single_mix","In music, a radio edit or radio mix is a modification, typically truncated, intended to make a song more suitable for airplay, whether it be adjusted for length, profanity, subject matter, instrumentation, or form.","radioversie, radio_edit",YES,,,
,bn:02091471n,,"radif, musical_radif",Radif is a collection of many old melodic figures preserved through many generations by oral tradition.,radif,YES,,,
,bn:00253029n,,"race_record, race_records",Race records were 78-rpm phonograph records marketed to African Americans between the 1920s and 1940s.,race_records,YES,,,
,bn:16393168n,,rabel,"The rabel is a bowed stringed instrument from Spain, a rustic folk-fiddle descended from the medieval rebec, with both perhaps descended from the Arab rabab.",rabel,YES,,,
,bn:02895106n,,"rabeca, rabeca_chuleira","The rabeca or rabeca chuleira is a fiddle originating in Portugal, commonly used in both Portugal and Northeastern Brazil, where it i most commonly used in Brazilian forró music.","rabeca, rabeca_chuleira",YES,,,
,bn:01459160n,,"qupai, 曲牌, qu_pai",A qupai is the generic term for a fixed melody used in traditional Chinese music.,"qupai, 曲牌, qu_pai",YES,,,
,bn:02853118n,,"quintus, quinta_vox","The Latin word quintus, also quinta or quinta vox, refers to the fifth voice in addition to the superius, altus, tenor and bassus in a piece of vocal polyphony.","quintus, quinta_vox",YES,,,
,bn:02345285n,,"quintuple_meter, 5/4_time, quintuple_metre, quintuple_time",Quintuple meter or quintuple time is a musical meter characterized by five beats in a measure., kwintoolkwart,YES,,,
,bn:00065700n,,quickstep,A ballroom dance with both quick and slow steps,quickstep,YES,,,
,bn:02514364n,,"queercore, homocore, gay_hardcore, gaycore, homopunk, queer_punk, lgbt_punk, gay_punk",Queercore is a cultural/social movement that began in the mid-1980s as an offshoot of the punk subculture and a music genre that comes from punk rock.,"queercore, homocore",YES,,,
,bn:00065625n,,quaver,A tremulous sound,"trilling, beving",YES,,,
,bn:00065589n,,"quarter_tone, quarter-tone, 24-tet, 24tet, quarter-tones, 31st_subharmonic, quart_de_ton, viertelton, 8_tone_equal_temperament, thirty-third_harmonic, three-quarter_tone, inferior_quarter_tone, undecimal_quarter_tone, 8-tone_equal_temperament, twenty-four-tone_equal_temperament, quarter-tone_scale, thirty-first_subharmonic, quarter_tones, undecimal_quarter-tone, inferior_quarter-tone, quarter-step, 8-tet, quarter_tone_scale, 24-tone_equal_temperament, quarter_step, 24_tone_equal_temperament, 8_equal_temperament, twenty-four_tone_equal_temperament, quarto_di_tono, 24_equal_temperament, 24_tet, three-quarter-tone, quartertone",Half of a semitone,"kwarttoon, kwarttoonverdeling, kwarttoonsverdeling, kwartaal_toonschaal, kwarttonen, kwart-toon, quartertone",YES,,,
,bn:03840907n,,"quartal_and_quintal_harmony, quartal_harmony, fourth_chords, fourth_voicing, quartal_and_quintal, quintal_harmony, fourth_chord, list_of_quartal_pieces, quartal_and_quintal_harmonies, quartal_and_quintal_chord, quartal_chord, quintal_and_quartal_harmony","In music, quartal harmony is the building of harmonic structures built from the intervals of the perfect fourth, the augmented fourth and the diminished fourth.",quartal_harmonie,YES,,,
,bn:02381002n,,"quantization, beat_quantization","In digital music processing technology, quantization is the studio-software process of transforming performed musical notes, which may have some imprecision due to expressive performance, to an underlying musical representation that eliminates the imprecision.",quantize,YES,,,
,bn:00399920n,,"quan_họ, quan_ho","Quan họ singing is a Vietnamese folk music style characterized both by its antiphonal nature, with alternating groups of female and male singers issuing musical challenges and responses.",quan_ho,YES,,,
,bn:00065509n,,quadrille,A square dance of 5 or more figures for 4 or more couples,quadrille,YES,,,
,bn:00065486n,,quack,The harsh sound of a duck,"kwak, gekwek, gekwaak",YES,,,
,bn:03305590n,,"qawwali, qawaali, quvvali, qwaali, quwvali, qavwali, quwaali, quwwali, qawwali_music, qwwalli, qawali, qwali, qavwaali, qawwal, quwalli, quwvaali, qawwālī","Qawwali is a form of Sufi Islamic devotional singing, originating from the Indian subcontinent, and notably popular in the Punjab and Sindh regions of Pakistan; in Hyderabad, Delhi and other parts of India, especially North India; as well as the Dhaka and Chittagong Divisions of Bangladesh.","qawwali, qawaali, qawali, qawwal",YES,,,
,bn:02219341n,,"qanun, kanun, kânûn, kanonaki, kanoon, ganoun, qawanin, qanoûn, qanoon, qawānīn","The qanun, kanun, ganoun or kanoon is a string instrument played either solo, or more often as part of an ensemble, in much of the Middle East, North Africa, West Africa, Central Asia, and southeastern regions of Europe.","qanun, qanûn, kanun",YES,,,
,bn:00065451n,,pyrrhic,An ancient Greek dance imitating the motions of warfare,pyrrhic,YES,,,
,bn:00065447n,,pyrotechnics,(music) brilliance of display (as in the performance of music),pyrotechniek,YES,,,
,bn:03366344n,,"pygmy_music, hindewhu, aka_pygmy_music, mobeke, aka_music, liquindi, pygmy_scale, pgymy_music, hindewho","Pygmy music refers to the sub-Saharan African music traditions of the Central African foragers, predominantly in the Congo, the Central African Republic and Cameroon.","hindewhu, pygmy_muziek",YES,,,
