wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?,note,removed EN,Removed IT,Multiword Expression,annotator traduction
,bn:00683005n,n,"kanjira, kañjīrā, khanjira, ganjira, kanjeera","The kanjira, khanjira, khanjiri or ganjira, a South Indian frame drum, is an instrument of the tambourine family.",kanjira,YES,,,,,
,bn:00683367n,n,"jazz_drumming, jazz_drummer, jazz_drums, jazz_time_signature",Jazz drumming is the art of playing percussion in jazz styles ranging from 1910s-style Dixieland jazz to 1970s-era jazz fusion and 1980s-era Latin jazz.,batterista_jazz,YES,,,,,
,bn:00683514n,n,piston,"The piston is a type of oboe invented by Breton musician, teacher, and luthier Youenn Le Bihan in 1983.",piston,YES,,,,,
,bn:00685053n,n,zabumba,A zabumba is a type of bass drum used in Brazilian music.,zabumba,YES,,,,,
,bn:00689098n,n,"psychedelic_trance, psytrance, full_on, dark_psytrance, psy_trance, psychedelic_breakbeat, psy_music, israeli_trance, dark_psy, psy-trance, minimal_psytrance, dark_psychedelic_trance, melodic_psytrance, psychedelic_trance_music, russian_psytrance, psy, full-on, minimal_psychedelic_trance, fullon, scandinavian_trance, psyprog, russian_psychedelic_trance, psybient, psybreaks, progressive_psytrance, minimalist_trance, black_trance, minimal_trance, morning_trance","Psychedelic trance, psytrance or psy is a subgenre of trance music characterized by arrangements of rhythms and layered melodies created by high tempo riffs.","psy-trance, psychedelic_trance, psy_trance, trance_psichedelica, psytrance",YES,,,psytrance_scuro,,
,bn:00689478n,n,baroque_orchestra,"A Baroque orchestra is a large ensemble for mixed instruments that existed during the Baroque era of Western Classical music, commonly identified as 1600–1750.",orchestra_barocca,YES,,,,,
,bn:00689601n,n,"baroque_violin, baroque_violinist, baroque_cello, baroque_bow",A Baroque violin is a violin set up in the manner of the baroque period of music.,"violino_barocco, violoncello_barocco",YES,,,,,
,bn:00690142n,n,"progressive_bluegrass, newgrass","Il progressive bluegrass è uno dei sottogeneri più importanti del bluegrass, sviluppatosi negli Stati Uniti a cavallo fra gli anni sessanta e settanta del XX secolo.","progressive_bluegrass, newgrass",CHECK,,,,,
,bn:00697308n,n,dive_bomb,"Dive bomb is a guitar technique in which the tremolo bar, or whammy bar is used to rapidly lower the pitch of a note, creating a sound considered to be similar to a bomb dropping.",dive_bomb,YES,,,bomba_immersione,,
,bn:00699049n,n,dubbing,"In sound recording, dubbing is the transfer or copying of previously recorded audio material from one medium to another of the same or a different type.",doppiaggio,YES,,,,,
,bn:00701768n,n,"bootleg_recording, bootleg, roio, bootleg_album, bootlegs, bootleg_cassette, bootleg_records, audio_bootleg, bootleg_recordings, music_bootleg, bootleg_movie, bootleg_record",A bootleg recording is an audio or video recording of a performance not officially released by the artist or under other legal authority.,"bootleg, bootlegs, bootlegging, registrazioni_bootleg, registrazione_bootleg",CHECK,,,,,
,bn:00702170n,n,"symphonic_poem, symphonic_poems, tone_poem, tondichtung, poema, symphonic_picture, symphonische_dichtung","A symphonic poem or tone poem is a piece of orchestral music, usually in a single continuous movement, which illustrates or evokes the content of a poem, short story, novel, painting, landscape, or other source.","poema_sinfonico, fantasia_sinfonica, poema, poemi_sinfonici",YES,,,,,
,bn:00702610n,n,"japanese_hip_hop, j-hip_hop, japanese_rap_music, j-hiphop, j-rap, japanese_hip-hop, japanese_rap, nip_hop",Japanese hip hop is said to have begun when Hiroshi Fujiwara returned to Japan and started playing hip hop records in the early 1980s.,"hip_hop_giapponese, j-hip_hop, nip_hop, giapponese_hip_hop",CHECK,,,,,
,bn:00704223n,n,"electroclash, retro-electro, synthtron, new_new_wave, tech-pop, synthcore, elektroclash, electro, retro_electro, electro_clash, electroklash, electroclash_kids, nouveau_disco","Electroclash is a genre of music that fuses 1980s electro, new wave and synth-pop with 1990s techno, retro-style electropop and electronic dance music.",electroclash,YES,,,,,
,bn:00705180n,n,"garage_rock, garage_rock_revival, garage_band, 60s_punk, garge_rock, garage-rock, garage_pop, garage_bands, arizona_garage, frat_rock, 1960s_punk, garage_revival, 1990s_garage_rock, 1980s_garage_rock, garage_rock/post-punk_revival","Garage rock is a raw and energetic style of rock and roll that flourished in the mid-1960s, most notably in the United States and Canada, and has experienced a series of subsequent revivals.","garage_rock, frat_rock, garage_band, garage_rock_revival, garage_pop",YES,,,,,
,bn:00707890n,n,"polyrhythm, polyrhythms, tribal_rhythms, african_polyrhythm, polyrhythmics, polyrythm, polymetre, polyrhythmic, tribal_rhythm","Polyrhythm is the simultaneous use of two or more rhythms that are not readily perceived as deriving from one another, or as simple manifestations of the same meter.","poliritmia, poliritmo, poliritmi, poliritmiche, ritmi_tribali",YES,,,,,
,bn:00709554n,n,"vocal_learning, go:0042297","Vocal learning is the ability to modify acoustic and syntactic sounds, acquire new sounds via imitation, and produce vocalizations.",apprendimento_vocale,YES,il lemmata EN è strano. wikidata afferma che vacal learning is also known as go:0042297 e non capisco bene cosa voglia dire ,,,,
,bn:00709593n,n,"irish_traditional_music_session, irish_jam_session, seisiún, irish_sessions, seisiun, irish_jam_sessions, irish_session",Irish traditional music sessions are mostly informal gatherings at which people play Irish traditional music.,"session_di_musica_tradizionale_irlandese, sessione_di_musica_tradizionale_irlandese",YES,,,,,
,bn:00710285n,n,"entrainment, beat_induction, foot_tapping",Entrainment in the biomusicological sense refers to the synchronization of organisms to an external perceived rhythm such as human music and dance.,foot_tapping,YES,"dei termini presenti in lemmata EN, foot tapping è l'unico di cui ho trovato informazioni in italiano",,,,
,bn:00710662n,n,"house_band, houseband","A house band is a group of musicians, often centrally organized by a band leader, who regularly play at an establishment.",house_band,YES,,,"band_della_casa, gruppo_della_casa, banda_della_casa",,
,bn:00711086n,n,wordless_functional_analysis,Wordless functional analysis is a method of musical analysis developed in the 1950s by the Austrian-born British musician and writer Hans Keller.,,YES,/,,,,
,bn:00711790n,n,"heptatonic_scale, egyptian_scale, heptatonic, heptatone_scales, septatonic_scale",A heptatonic scale is a musical scale that has seven pitches per octave.,"scala_eptatonica, scala_eptafonica, scala_heptatonic, heptatonic",YES,,,,,
,bn:00711792n,n,"hexatonic_scale, blues_box, miracle_hexachord, wunderreihe, augmented_scale, six-note_scale, tritone_scale, hexatonic, set-class_6-20, two-semitone_tritone_scale, liszt_mode, hexatonic_system","In music and music theory, a hexatonic scale is a scale with six pitches or notes per octave.","scala_esatonica, esatonale",YES,,,,,
,bn:00715870n,n,"unfinished_symphony, unfinished_musical_compositions","An unfinished symphony is a fragment of a symphony, by a particular composer, that musicians and academics consider incomplete or unfinished for various reasons.","sinfonia_incompleta, composizioni musicali_incomplete",YES,,,,,
,bn:00717538n,n,"ancient_music, music_in_ancient_persia, archaeomusicologist, ancient_chinese_music","Ancient music refers to the musical systems that were developed in the ancient past, literate cultures, including Mesopotamia, India, Persia, Egypt, China, Greece, and Rome, which replaced prehistoric music.","musica_dell'antichità, musica_antica",YES,,,,,
,bn:00717773n,n,"prehistoric_music, primitive_music, evolution_of_music, music, origins_of_music, ancient_musical_instrument, prehistory_of_music, prehistoric_musical_instrument","Prehistoric music is a term in the history of music for all music produced in preliterate cultures, beginning somewhere in very late geological history.",musica_preistorica,YES,,,,,
,bn:00718320n,n,"one-hit_wonder, one-hit_wonders, one_hit_wonders, two_hit_wonders, two-hit_wonder, 1_hit_wonder, one_hit_wonder, one-hit-wonder, two_hit_wonder, favorite_one_hit_wonders, one-hit_wonders_in_classical_music, one_note_wonder, two-hit_wonders","A one-hit wonder is any entity that achieves mainstream popularity, often for only one piece of work, and becomes known among the general public solely for that momentary success.","one-hit_wonder, one_hit_wonder, one-hit_wonders, meteora_musicale",CHECK,ho aggiunto meteora_musicale ma non so quanto sia pertinente. il termine è utilizzato in articoli musicali in italiano ma più che altro per spiegare il significato del termine inglese. Per esempio 'le one hit wonder sono le cosiddette 'meteore musicali'...' ,,,,
,bn:00724075n,n,"barre_chord, barr_chord, bar_chord, barr, barred_chord, barring, caged, diagonal_barre_chord, barre_chords, barré_chord, bar_chords","In music, a barre chord is a type of chord on a guitar or other stringed instrument, that the musician plays by using one or more fingers to press down multiple strings across a single fret of the fingerboard.","accordo_barré, barré, accordo_barrè, accordi_sbarra, accordi_barre",YES,,,,,
,bn:00725470n,n,"travesti, en_travesti","Travesti is a theatrical term referring to the portrayal of a character in an opera, play, or ballet by a performer of the opposite sex.","travesti, en_travesti, in_travesti",YES,,,,ruolo_en_travesti,
,bn:00727057n,n,"guest_appearance, guest_star, guest_role, featuring, feat., guest_of_honour, featured_guest, guest_actress, guest_appearances, guest_vocalist, featured_artist, guest_of_honor, guest_stars, guest_starring, guest_vocal, guest_performer, featured_performer, guest-star, guest_solo, ft., guests_of_honor, guest_vocals, special_guest_star, guest_actor, guest_artist","In show business, a guest appearance is the participation of an outsider performer in an event such as a music record or concert, show, etc., when the performer does not belong to the regular band, cast, or other performing group.","guest_star, guest-star, guest_stars, ospite_d'onore, personaggio_ricorrente, recurring, partecipazione_straordinaria, interprete_ricorrente, ruolo_di_ospite, voce_ospite, con, guest_vocalist, comparsa",YES,,,,,
,bn:00734358n,n,"rebec, rubeba, ribible, rebequin, patchi, rebeck, rebet",The rebec is a bowed stringed instrument of the Medieval era and the early Renaissance.,"ribeca, Rebec",YES,,,,,
,bn:00735003n,n,"traditional_irish_music, irish_traditional_music, irish_folk_music, irish_trad, folk_music_of_ireland, irish_folk, irish_traditional, irish_folk_songs, traditional_music_of_ireland, irish_folk_song, traditional_music_of_northern_ireland, traditional_music_of_the_republic_of_ireland, folk_music_of_northern_ireland, goltrai, suantrai",Irish traditional music is a genre of folk music that developed in Ireland.,"musica_tradizionale_irlandese, irish_folk, musica_folk_irlandese, musica_popolare_d'irlanda, folk_irlandese",CHECK,,,,,
,bn:00735193n,n,"war_song, military_song, military_songs, war_songs, world_war_i_song","A war song is a musical composition that relates to war, or a society's attitudes towards war.","canzone_di_guerra, canzone_militare",YES,,,,,
,bn:00735887n,n,"tejano_music, tex-mex, tex-mex_and_tejano_music, texmex, orquesta_tejana, tejano, tex-mex_music, musica_tejana, tex-mex_and_tejano","Tejano music also música tejana is a popular music style fusing Mexican, European, and U.S. influences.","musica_tex-mex, musica_tejano, tejano, tex-mex_music",CHECK,,,,,
,bn:00736133n,n,"lion's_roar, rugghio_di_leone, löwengebrull",The lion's roar is a membranophone instrument that has a drum head and a cord or horsehair passing through it.,ruggito_del_leone,YES,,,,,
,bn:00737410n,n,"fade, crossfader, fade-out, pre-fader_listening, pre_fade_listener, cross-fader, pfl_-_pre-fader_listen, fader, crossfade","In audio engineering, a fade is a gradual increase or decrease in the level of an audio signal.","cross-fader, crossfader, dissolvenza_incrociata, dissolvenza, fade-out",YES,,,,,
,bn:00737478n,n,kotar,A kotar is a type of prepared guitar with a sound reminiscent of the koto.,,YES,/,,,,
,bn:00738845n,n,dhak,The dhak is a huge membranophone instrument from India.,dhak,YES,,,,,
,bn:00739902n,n,"dhaki, dhakis","Dhakis are traditional drummers who play the dhak during Hindu festivals, primarily in Bengal.",dhaki,YES,,,,suonatori_di_dhak,
,bn:00740759n,n,"classic_rag, classical_ragtime, classic_ragtime","For the term ""rag"" in classical Indian music, see Raga.",,YES,"il termine rag è utilizzato in italiano, non ho trovato esempi diretti di 'classical rag' ma direi che il termine è quello corretto per la traduzione ",,,,
,bn:00741173n,n,"sound_system, jamaican_sound_system, reggae_sound_system","In Jamaican popular culture, a sound system is a group of disc jockeys, engineers and MCs playing ska, rocksteady or reggae music.","sound_system, sistema_audio",YES,,,,,
,bn:00741640n,n,indonesian_popular_music_recordings,"Recorded music is a reflection of modern Indonesian history and culture—specifically class consciousness, economics and post-colonial identity.",registrazioni_musicali_di_musica_popolare_indonesiana,CHECK,,,,,
,bn:00741848n,n,"darkcore, darkside_hardcore, darkside_jungle","Darkcore is a music subgenre of breakbeat hardcore and jungle in the UK rave scene, that emerged from late 1992.","darkcore, darkside",YES,,,,,
,bn:00745036n,n,armenian_opera,Armenian opera is the art of opera in Armenia or opera by Armenian composers.,opera_armena,CHECK,,,,,
,bn:00745238n,n,"pueblo_music, hopi_music, zuni_music","Pueblo music includes the music of the Hopi, Zuni, Taos Pueblo, San Ildefonso, Santo Domingo, and many other Puebloan peoples, and according to Bruno Nettl features one of the most complex Native American musical styles on the continent.",musica_pueblo,CHECK,,,,,
,bn:00745738n,n,sporting_song,"A Sporting Song is a folk-song which celebrates Fox hunting, Horse racing, Gambling and other recreations.",,YES,/,,,,
,bn:00746809n,n,bebung,Bebung is a type of vibrato executed on the clavichord.,bebung,YES,,,,,
,bn:00749587n,n,navajo_music,"Navajo music is music made by Navajos, mostly hailing from the Four Corners region of the Southwestern United States and the territory of the Navajo Nation.",musica_navajo,CHECK,,,,,
,bn:00749779n,n,"sociomusicology, sociology_of_music, music_sociology, sociomusicologist","Sociomusicology, also called music sociology or the sociology of music, refers to both an academic subfield of sociology that is concerned with music, as well as a subfield of musicology that focuses on social aspects of musical behavior and the role of music in society.",sociologia_della_musica,CHECK,,,,,
,bn:00750078n,n,"hindu_music, hindu_songs",Hindu music is music created for or influenced by Hinduism.,"musica_indù, canzoni_indù ",CHECK,,,,,
,bn:00750438n,n,"narodna_muzika, folk_muzika","Narodna muzika also called Folk muzika means folk music in the South Slavic languages; Bosnian, Bulgarian, Macedonian, Montenegrin and Serbian.",,CHECK,"in inglese narodna muzika è anche più semplicemente chiamata balkan folk music. tradurrei quindi con mucica folk dei balcani, però il termine 'balcan folk music' non è esplicitamente contenuto in lemmata EN quindi non so se sarebbe corretto",,,,
,bn:00751680n,n,resheto,The resheto is a Ukrainian percussive folk instrument.,,YES,/,,,,
,bn:00751975n,n,"incomplete_repetition, aabc_form","Incomplete repetition is a musical form featuring two large sections, the second being a partial or incomplete re-presentation or repetition of the first.",,YES,"/, forse ripetizione incompleta va bene? non sembra un termine specifico neanche in inglese ",,,,
,bn:00753886n,n,yuman_music,"Yuman music is the music of Yumans, a group of Native American tribes from what is now Southern California and Baja California.",,CHECK,"gli yuman venivano chiamati con anche altri nomi (quechan, yuma, kwtsan, kwtsaan), quindi magari bisogna aggiungere tutti questi nomi in lemmata IT. Traduzione in multiword expression ",,,musica_della_tribù_yuman,
,bn:00754217n,n,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,"musica_natalizia, canzoni_di_natale, canzoni_natalizie, canzone_natalizia, album_di_natale, musica_di_natale, album_di_vacanza, musica_vacanza",YES,,,,,
,bn:00754315n,n,"pastorale, pastorella","Pastorale refers to something of a pastoral nature in music, whether in form or in mood.",pastorale,YES,,,,,
,bn:00755531n,n,"radio_orchestra, broadcast_orchestra, television_orchestra",A radio orchestra is an orchestra employed by a radio network in order to provide programming as well as sometimes perform incidental or theme music for various shows on the network.,orchestra_radio,YES,,,,,
,bn:00760181n,n,"calypso, calypso_music, calypso_jazz, calypso-jazz",Calypso is a style of Afro-Caribbean music that originated in Trinidad and Tobago during the early to mid-19th century and spread to the rest of the Caribbean Antilles and Venezuela by the mid-20th century.,"calypso, calipso, jazz_calypso, musica_calypso",YES,,,,,
,bn:00761567n,n,"sambass, drum_'n'_bossa","Sambass, drum 'n' bossa or drum 'n' sambass is a regional subgenre of drum and bass music mostly native to Brazil, which combines drum and bass rhythms with influences from Latin American music.",sambass,YES,,,,,
,bn:00762123n,n,"ottoman_classical_music, ottoman_music, turkish_classical_music, turk_sanat_muzi, turk_sanat_muzgi, tuerk_sanat_muezi, classical_turkish_music, türk_sanat_müziği, tuerk_sanat_muezgi, turkish_art_music, turkish_court_music, classical_music_in_turkey, ottoman_turkish_music",Ottoman music was developed in Istanbul and other major Ottoman cities and towns through the palaces and Sufi lodges of the Ottoman Empire.,"musica_classica_ottomana, musica_classica_turca, musica_ottomana",YES,,,,,
,bn:00764459n,n,kirikoketa,The kirikoketa is a specialized Basque music wooden device akin to the txalaparta and closely related to working activities.,kirikoketa,YES,,,,,
,bn:00765226n,n,"uk_garage, ukg, speed_garage, garage_hop, post-garage, ukg:_uk_garage_and_two-step","UK garage, abbreviated as UKG, is a genre of electronic music which originated in England in the early to mid-1990s.",uk_garage,YES,,,,,
,bn:00767338n,n,"jesus_music, gospel_beat","Jesus music, known as gospel beat music in the United Kingdom, is a style of Christian music that originated on the West Coast of the United States in the late 1960s and early 1970s.",,YES,/,,,,
,bn:00767815n,n,"conjunto, conjunto_de_música_calentana, conjunto_de_arpa_grande, conjunto_jarocho, conjunto_calentano, conjunto_tejano, conjunto_huasteco","The term conjunto refers to several types of small musical ensembles present in different Latin American musical traditions, mainly in Mexico and Cuba.",conjunto,YES,,,,,
,bn:00769724n,n,"natural_sounds, natural_sound, nature_sounds, non-synthesized_sound","Natural sounds are any sounds produced by non-human organisms as well as those generated by natural, non-biological sources within their normal soundscapes.","suono_naturale, suoni_naturali",YES,,,,,
,bn:00773708n,n,,Optional.empty,revival,CHECK,non ci sono abbastanza informazioni,,,,
,bn:00774296n,n,"acousmatic_sound, visualized_sound, acousmatique, acousmatic",Acousmatic sound is sound that is heard without an originating cause being seen.,acusmatica,YES,,,,,
,bn:00774370n,n,"power_trio, power_trios, rock_trio","A power trio is a rock and roll band format having a lineup of electric guitar, bass guitar and drum kit, leaving out the second rhythm guitar or keyboard instrument that are used in other rock music bands that are quartets and quintets.",power_trio,YES,,,trio_di_potenza,,
,bn:00774652n,n,strain,A strain is a series of musical phrases that create a distinct melody of a piece.,,YES,"forse la parola 'passo' va bene come traduzione, ma non sono sicuro. Ho trovato strain tradotto dall'inglese all'italiano in contesto di poesie e può venire tradotto con 'passo', quindi potrebbe andare bene anche in contesto musicale ",,,,
,bn:00775821n,n,"maqam, arabic_maqam, arab_maqam, arabian_maqam","Arabic maqam is the system of melodic modes used in traditional Arabic music, which is mainly melodic.",maqam_arabo,YES,,,,,
,bn:00776406n,n,zouglou,Zouglou is a dance oriented style of music originated from Côte d'Ivoire during the mid-1990s.,zouglou,YES,,,,,
,bn:00778194n,n,"slit_drum, slit_drums, slit_gong, tongue_drum, tongue_drums, log_drums, gulgul, slit-drum, incision_drum, slit-gong, slit_gongs, log_drum, bamboo_slit_drum",A slit drum or slit gong is a hollow percussion instrument.,"tamburi_a_fessura, tamburo_log, gong_fessura, tamburo_a_fessura",YES,,,batteria_lingua,,
,bn:00781959n,n,"cântec_batrânesc, cantec_batranesc",Cântec batrânesc is a traditional form of ballad which originates from Romania.,,CHECK,/,,,,
,bn:00783163n,n,"systematic_musicology, systematische_musikwissenschaft, systematic_music_theory","Systematic musicology is an umbrella term, used mainly in Central Europe, for several subdisciplines and paradigms of musicology.",musicologia_sistematica,YES,,,,,
,bn:00783894n,n,"blues_scale, jazz_scale, jazz_scales, jazz_melodic_minor_scale",The term blues scale refers to several different scales with differing numbers of pitches and related characteristics.,scala_blues,YES,,,,,
,bn:00784281n,n,biguine,"Biguine is a rhythm-centric style of music that originated from Saint-Pierre, Martinique in the 19th century.",beguine,CHECK,,,,,
,bn:00785696n,n,baisha_xiyue,"Baisha xiyue is one of the two surviving forms of traditional music of the Naxi people of Lijiang, Yunnan Province, China, known as ""Naxi ancient music"".",baisha_xiyue,CHECK,,,,,
,bn:00786379n,n,"carimbo, carimbó, rhythm_carimbo",Carimbó is a Brazilian dance.,"carimbo, lambada_carimbo",YES,,,,,
,bn:00788252n,n,"liquid_funk, liquid_dnb, liquid_drum_&_bass, liquid_drum_and_bass, liquid, melodic_dum_&_bass","Liquid funk, liquid drum & bass, liquid DnB, liquid or sometimes just melodic drum & bass is a subgenre of drum and bass.","liquid_funk, funk_liquido",YES,,,,,
,bn:00789205n,n,"analog_synthesizer, analogue_synthesizer, analog_synthesiser, polyphonic_analogue_synthesizer, analogue_synthesiser, synthesist, analog_synth, analog_synthesis, analogue_synthesisers, analog_synthesizers",An analog synthesizer is a synthesizer that uses analog circuits and analog signals to generate sound electronically.,"sintetizzatore_analogico, sintetista, sintetizzatori_analogici",YES,,,,,
,bn:00789289n,n,"pop_rock, pop/rock, rock/pop, pop-rock, melodic_rock, guitar_pop_rock, pop-rock_music, guitar_pop, pop_rock_music, guitar-pop, pop_'n'_roll, rock_pop, pop-_rock, poprock, rock_-_pop, pop/rock_music","Pop rock is rock music with a greater emphasis on professional songwriting and recording craft, and less emphasis on attitude.","pop_rock, pop-rock, rock_pop, rock-pop, rock_melodico, pop__rock",YES,,,,,
,bn:00789872n,n,"single, dvd_single, singles, 45_record, 45, 7-inch_vinyl, 45rpm_single, 7”, seven_inch_single, 7_inch_record, digital_single, single_play, videotape_single, internet_single, ld_single, single_album, music_single, 10_inch_single, radio_single, 7_inch_single, 45-rpm, single_record, 7″_single, biggest_singles, single_players, 45_rpm_single, physical_single, 7-inch_record, single_plays, sps, 7""_single, 7-inch_records, 45-rpm_record","In music, a single is a type of release, typically a song recording of fewer tracks than an LP record or an album.","singolo, singoli, singolo_discografico, singolo_musicale, singoli_discografici, singolo_digitale, cd_singolo, maxi_singolo, dischi_singoli, disco_singolo, 45, singolo_record, singolo_musica, singolo_45_giri",YES,,,,,
,bn:00789960n,n,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.","remix, remixer, remixaggio, dance_remix, remix_dance",YES,,,,,
,bn:00791135n,n,"sioux_music, dakota_music, nakota_music, lakota_music","The Sioux are a large group of Native Americans generally divided into three subgroups: Lakota, Dakota and Nakota.","musica_sioux, musica_dakota, musica_nakota, musica_lakota",CHECK,,,,,
,bn:00791149n,n,iroquois_music,The Iroquois is a confederacy of six Native American tribes.,musica_irochese,CHECK,,,,,
,bn:00795268n,n,"ondō, ondo",Ondō is a type of Japanese folk music genre.,ondo,CHECK,,,,,
,bn:00795601n,n,stutter_edit,"The stutter edit is the rhythmic repetition of small fragments of audio, occurring as the common 16th note repetition, but also as 64th notes and beyond, with layers of digital signal processing operations in a rhythmic fashion based on the overall length of the host tempo.",stutter_edit,YES,,,,,
,bn:00796621n,n,"piano_four_hands, vier_händen, a_quattro_mani, piano_four-hands, four_hands, piano_4_hands, four_hand_piano, zu_vier_händen, vierhändig, piano, four-hand_piano, secondo, a_quatre_mains, quattro_mani, piano_four_hand, à_quatre_mains",Piano four hands is a type of piano duet involving two players playing the same piano simultaneously.,"a_quattro_mani, pianoforte_a_quattro_mani, quattro_mani",YES,,,,,
,bn:00797855n,n,furiant,"A furiant is a rapid and fiery Bohemian dance in alternating 2/4 and 3/4 time, with frequently shifting accents; or, in ""art music"", in 3/4 time ""with strong accents forming pairs of beats"".",furiant,YES,,,,,
,bn:00799530n,n,sustain,Sustain označuje dobu trvání ustáleného zvuku hudebního nástroje.,"sustain, sostenere",CHECK,ndefinizione non in inglese ,,,,
,bn:00804704n,n,"hemiola, african_hemiola_style, emiolia","In music, hemiola is the ratio 3:2.","hemiola, emiolia, hemiolia, emiola",YES,,,,,
,bn:00805165n,n,ambiophonics,"Ambiophonics is a method in the public domain that employs digital signal processing and two loudspeakers directly in front of the listener in order to improve reproduction of stereophonic and 5.1 surround sound for music, movies, and games in home theaters, gaming PCs, workstations, or studio monitoring applications.",ambiofonica,YES,,,,,
,bn:00809924n,n,afrocubanismo,"Afrocubanismo was an artistic and social movement in black-themed Cuban culture with origins in the 1920s, as in works by the cultural anthropologist Fernando Ortiz.",afrocubanismo,CHECK,,,,,
,bn:00811735n,n,"nigun, hasidic_music, nign, chassidic_music, nigunim, niggun, niggunim, chasidic_music",A nigun or niggun is a form of Jewish religious song or tune sung by groups.,"nigun, niggun, nigunim",CHECK,,,,,
,bn:00817347n,n,organ_concerto,"An organ concerto is a piece of music, an instrumental concerto for a pipe organ soloist with an orchestra.","concerto_per_organo, concerto_d'organo",YES,,,,,
,bn:00817931n,n,"dappan_koothu, tappaankuthu, dappankuthu, dappanguthu, tappankuthu, dappaankuthu, tapanguchi, dappaan_koothu",Dappan Koothu is a folk dance and music genre with an emphasis on percussion performed in the South Indian state of Tamil Nadu.,,CHECK,/,,,,
,bn:00818980n,n,"min'yō, min'yo, nippon_minyo, min'you",Min'yō is a genre of traditional Japanese music.,"min'yo, min'yō",CHECK,,,,,
,bn:00819875n,n,"balaban, yasti_balaban","Balaban, or balaman is cylindrical-bore, double-reed wind instrument about 35 centimetres long with eight finger holes and one thumb hole.",balaban,YES,,,,,
,bn:00819893n,n,rondador,The rondador is a set of chorded cane panpipes that produces two tones simultaneously.,Rondador,YES,,,,,
,bn:00820643n,n,comprimario,A comprimario is a small supporting role in an opera.,comprimario,YES,,,,,
,bn:00821669n,n,"zoroastrian_music, zarathustran_music",Zoroastrian music is a genre of religious music that accompanies religious and traditional rites among the Zoroastrian people.,musica_zoroastriana,YES,,,,,
,bn:00821856n,n,"underground_music, underground_bands, musik_'underground', underground_scene, underground_musician, underground, underground_rock, underground_musicians, underground_band, underground_music_industry","The term ""underground music"" can be taken to denote those practices perceived as outside, or somehow opposed to, mainstream popular music culture.","musica_underground, rock_underground, scena_underground",YES,,,,,
,bn:00822665n,n,"parlour_song, parlour_music, parlor_song, parlour_songs, parlor_music, parlour_mode, submediant-octave_mode, parlor_songs, parlour_chord, parlor_ballad, parlour_ballads, mediant-octave_mode, pseudo-phrygian_mode, mediant-octave_modal_frame, parlour_ballad","Parlour music is a type of popular music which, as the name suggests, is intended to be performed in the parlours of houses, usually by amateur singers and pianists.",,YES,ho cambiato il lemmata già presente con 'musica_da_salotto'. traduzione in multiword expression ,,canzone_salotto,musica_da_salotto,
,bn:00825954n,n,"psychoanalysis_and_music, music&psychoanalysis","Music has the ability to open doors, which allow us to see beyond a typical conversation or thought process.",musica_e_psicoanalisi,CHECK,,,,,
,bn:00832482n,n,"eye_music, augenmusik",Eye music describes graphical features of scores which when performed are unnoticeable by the listener.,musica_visiva,YES,,,,,
,bn:00833972n,n,"passamezzo_antico, passo_e_mezzo",The passamezzo antico is a ground bass or chord progression that was popular during the Italian Renaissance and known throughout Europe in the 16th century.,passamezzo_antico,YES,,,,,
,bn:00834789n,n,uruguayan_rock,Uruguayan rock first emerged in Uruguay in the 1950s.,rock_uruguaiano,CHECK,,,,,
,bn:00837340n,n,"christian_music_industry, gospel_music_industry, contemporary_christian_music_industry","The Christian music industry is a small part of the larger music industry, that focuses on traditional Gospel music, Southern gospel, contemporary Christian music, and alternative Christian music.",settore_musica_cristiana,YES,,,,,
,bn:00837758n,n,"manual, organ_manual, keyboard_manual, hoofdwerk, manualiter","A manual is a musical keyboard designed to be played with the hands, on an instrument such as a pipe organ, harpsichord, clavichord, electronic organ, melodica, or synthesizer.","manuale, manuale_d'organo, manuali_d'organo, manuali",YES,,,,,
,bn:00839108n,n,"forró, forro_pe-de-serra, forro, forró_pé-de-serra, forró_pé-de_serra","The term forró refers to a musical genre, a rhythm, a dance and the event itself where forró music is played and danced.",forró,YES,,,,,
,bn:00839613n,n,"african_popular_music, afropop, afrobeats, african_pop_music, afropop_music, afro_pop, afro-pop, afro_pop_music, african_pop","African popular music, like African traditional music, is vast and varied.","afropop, musica_popolare_africana, afro-pop",YES,,,,,
,bn:00840901n,n,educational_music,"Educational music, is a genre of music in which songs, lyrics, or other musical elements are used as a method of teaching and/or learning.",musica_educativa,YES,,,,,
,bn:00841580n,n,brukdown,Brukdown is a genre of Belizean music.,brukdown,CHECK,,,,,
